Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹32,000",Semi-Furnished,1,643 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Mysore Road, Bangalore","₹15,000",Semi-Furnished,1,540 sqft,Bachelors,From May '26
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹10,000",Semi-Furnished,1,345 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹30,000",Semi-Furnished,1,448 sqft,Bachelors,From Apr '26
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹35,000",Furnished,1,3000 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kadubeesanahalli, Bangalore","₹20,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹35,000",Semi-Furnished,1,445 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹15,000",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sunkadakatte, Bangalore","₹7,000",Furnished,1,250 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Phase 2 Electronic City, Bangalore","₹6,500",Semi-Furnished,1,1200 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Murgesh Pallya, Bangalore","₹15,000",Semi-Furnished,2,500 sqft,Bachelors/Family,From May '26
"1 BHK Flat  for Rent in RSR Layout, Bangalore","₹7,000",Unfurnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹24,000",Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹9,000",Semi-Furnished,1,450 sqft,Bachelors,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹14,000",Semi-Furnished,1,450 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Doddanekundi, Kartik Nagar, Bangalore","₹26,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹25,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddakannelli, Bangalore","₹26,500",Furnished,1,450 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹25,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹26,000",Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Chinmaya Mission Hospital Road, Bangalore","₹25,000",Unfurnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore","₹28,000",Furnished,1,488 sqft,Bachelors,From May '26
"1 BHK Flat  for Rent in Amrita Nagar, Bangalore","₹22,000",Furnished,1,430 sqft,Bachelors,Immediately
